intercept,age_cat,race,priors_count_x1000,sex,c_charge_degree
1,0,0,-709,1,0
1,0,0,3147,1,0
1,2,2,-506,0,1
1,0,2,-709,0,0
1,0,2,-709,1,0
1,1,2,-709,1,0
1,0,2,103,1,0
1,0,0,2741,1,0
1,0,0,103,1,0
1,0,2,1726,1,1
1,1,2,-709,0,0
1,2,0,103,0,0
1,0,2,-303,1,0
1,0,0,-506,0,1
1,2,5,-709,1,0
1,0,2,-506,0,0
1,2,0,-709,0,1
1,0,0,-709,1,1
1,0,0,-709,0,1
1,1,2,103,1,0
1,0,3,1117,1,0
1,0,0,711,1,0
1,0,3,-506,0,0
1,2,2,-709,0,1
1,0,2,1726,1,0
1,0,2,-709,1,0
1,0,0,-303,1,1
1,0,0,-506,1,0
1,0,0,-709,1,1
1,0,0,914,0,0
1,0,2,-709,0,0
1,0,2,-709,0,1
1,0,0,914,1,1
1,2,0,-303,1,0
1,0,2,-506,0,1
1,0,2,-100,1,0
1,0,2,306,1,0
1,1,2,-506,1,0
1,1,5,-709,1,0
1,0,3,1117,1,0
1,0,2,-506,1,0
1,0,2,-100,1,0
1,0,3,-709,1,1
1,2,0,914,1,0
1,2,2,-506,1,0
1,1,2,1929,1,1
1,0,0,103,0,0
1,0,0,508,0,0
1,0,2,103,1,1
1,0,2,-506,1,0
1,0,0,-303,1,0
1,0,0,914,1,1
1,2,0,-506,1,0
1,0,1,-709,1,1
1,1,3,-506,1,1
1,0,0,3958,1,1
1,0,2,-100,1,1
1,0,0,711,1,0
1,0,2,711,1,0
1,2,2,-506,1,0
1,1,2,-709,0,1
1,0,2,306,1,1
1,1,0,1523,1,0
1,0,3,-709,0,1
1,0,0,-506,1,1
1,0,2,-100,0,0
1,2,2,-303,1,1
1,1,1,-709,1,0
1,0,2,-709,0,1
1,0,2,-709,0,0
1,0,2,-506,0,0
1,0,0,-709,1,0
1,0,3,-506,1,0
1,2,0,-303,1,0
1,0,2,1117,0,1
1,0,0,306,0,1
1,1,0,-100,0,0
1,2,3,-506,1,0
1,2,3,-506,0,0
1,0,3,-100,1,0
1,0,0,-709,1,0
1,0,0,-709,0,1
1,0,2,-709,1,0
1,0,0,-303,1,1
1,0,5,-709,0,0
1,2,0,-303,1,1
1,2,0,1320,1,0
1,0,3,4567,1,0
1,0,3,306,1,0
1,1,2,-506,1,0
1,2,0,-506,1,0
1,1,3,-709,1,1
1,2,0,-303,1,0
1,0,0,1523,1,0
1,0,0,-100,1,1
1,0,2,-709,0,1
1,0,0,-709,1,0
1,1,2,-506,1,0
1,0,0,1117,1,1
1,0,3,3147,1,0
1,2,5,-709,1,1
1,1,5,-506,1,1
1,0,0,-100,0,0
1,2,0,-506,1,0
1,2,0,-100,0,1
1,0,0,103,1,0
1,1,2,1726,1,0
1,0,5,-506,1,1
1,0,2,-709,1,1
1,2,0,-303,1,0
1,0,0,-709,0,0
1,0,0,-709,1,1
1,0,3,306,1,0
1,0,3,-709,0,0
1,1,2,-709,0,0
1,0,3,-506,0,1
1,2,2,508,1,0
1,1,0,-709,1,1
1,0,5,-100,1,0
1,2,0,-709,1,0
1,0,0,2538,1,0
1,0,0,711,1,0
1,1,2,-100,0,0
1,2,0,-709,1,0
1,0,0,-709,1,0
1,2,0,-303,1,1
1,0,2,-709,1,1
1,2,0,-506,1,0
1,0,5,306,0,0
1,0,2,-506,1,0
1,0,0,-709,1,0
1,1,2,2741,1,0
1,0,0,-709,1,1
1,0,0,-709,1,0
1,0,0,306,0,0
1,2,5,-709,1,1
1,1,2,-709,1,1
1,2,2,-506,1,0
1,0,0,306,1,1
1,1,2,-709,1,1
1,0,0,-709,1,0
1,2,0,-303,1,0
1,0,2,-506,0,0
1,0,0,711,0,0
1,0,2,-506,1,1
1,1,2,-709,1,0
1,0,0,-506,1,0
1,0,0,-709,1,0
1,2,0,-303,1,1
1,0,3,-506,1,0
1,0,0,1929,1,1
1,0,2,103,1,0
1,2,0,1320,1,1
1,0,0,-709,1,1
1,1,0,-709,0,1
1,0,0,-506,0,1
1,1,5,-709,1,0
1,2,2,-506,1,0
1,2,2,-100,1,1
1,1,0,103,0,0
1,0,0,-709,1,0
1,2,0,-709,1,0
1,0,5,-709,1,1
1,0,0,-100,0,1
1,1,2,-709,1,1
1,2,0,-506,1,1
1,0,5,711,1,0
1,0,0,-303,1,0
1,2,4,-506,1,0
1,0,2,-709,1,1
1,0,0,2741,1,1
1,1,3,-506,1,1
1,2,0,-506,1,0
1,1,2,-709,1,1
1,0,0,-303,1,0
1,0,0,-506,0,1
1,0,2,-506,0,1
1,2,0,-303,1,0
1,0,2,-709,0,0
1,2,3,-709,1,0
1,2,2,-303,1,1
1,1,2,-709,0,1
1,0,3,-709,1,1
1,2,0,-506,1,0
1,2,0,-506,1,1
1,0,0,2335,1,0
1,0,2,1117,1,0
1,1,2,711,1,0
1,2,0,-506,1,0
1,1,0,-506,1,0
1,0,2,-709,0,0
1,2,0,-709,1,0
1,0,0,508,1,0
1,2,0,-709,1,0
1,0,2,-506,0,1
1,1,5,-709,1,0
1,0,0,-506,1,0
1,1,2,-506,1,1
1,1,2,-506,1,0
1,2,3,-303,1,0
1,0,0,306,1,1
1,0,2,103,1,1
1,0,0,306,1,0
1,1,2,-506,1,1
1,0,0,-303,1,1
1,2,3,-709,1,0
1,0,0,3553,1,0
1,0,0,-709,1,1
1,2,5,-506,1,0
1,0,0,-100,1,1
1,0,0,-506,0,0
1,2,0,-709,1,0
1,0,0,-100,1,0
1,0,2,-709,1,1
1,1,2,-709,1,0
1,0,2,306,1,0
1,2,0,-506,1,0
1,1,2,-709,1,0
1,0,2,-506,1,1
1,0,3,-709,0,1
1,0,0,-709,1,1
1,0,0,508,1,1
1,2,3,-709,0,1
1,1,0,1117,1,0
1,2,2,914,1,0
1,0,2,-303,1,1
1,2,0,-100,1,0
1,0,2,-709,0,1
1,0,0,711,1,0
1,0,2,1320,1,1
1,1,2,306,1,0
1,0,0,103,1,1
1,0,0,-506,1,0
1,0,3,-709,0,0
1,0,0,-506,0,1
1,2,2,1320,1,0
1,2,3,-709,1,0
1,0,2,-303,1,0
1,2,5,-709,1,0
1,1,0,3755,1,0
1,0,2,-303,1,0
1,0,0,1726,1,0
1,1,2,-303,1,1
1,0,2,-303,1,1
1,0,5,-709,1,0
1,1,2,-506,1,0
1,2,0,-506,1,0
1,2,0,-100,1,0
1,0,0,306,1,0
1,2,0,508,1,0
1,2,0,-506,1,1
1,0,2,-303,0,0
1,0,2,914,1,0
1,1,0,-100,1,0
1,2,0,-506,1,0
1,0,2,1523,1,0
1,1,2,711,1,0
1,1,3,-303,1,1
1,0,0,1523,1,0
1,2,0,-506,1,0
1,0,2,-506,1,0
1,1,2,-506,1,1
1,0,0,-303,1,1
1,0,5,-709,1,1
1,0,2,1117,1,0
1,0,0,-303,1,0
1,0,0,1929,1,0
1,2,5,-709,1,1
1,1,2,711,0,0
1,0,2,-709,0,0
1,0,0,306,1,0
1,2,2,-709,1,0
1,0,0,-709,1,0
1,2,0,-506,1,1
1,2,0,-709,0,1
1,0,5,-709,1,0
1,0,2,-709,1,0
1,2,2,-303,1,0
1,2,2,-506,1,0
1,2,2,306,1,0
1,0,0,3755,1,0
1,0,5,-709,0,0
1,1,2,-303,1,0
1,0,0,306,1,1
1,0,0,1726,1,1
1,0,0,-709,1,0
1,2,0,-709,1,0
1,0,0,-709,1,0
1,0,5,-303,1,0
1,1,2,-506,1,0
1,0,3,-709,1,1
1,2,0,-709,1,0
1,2,2,-506,1,0
1,2,2,-709,0,0
1,0,3,-506,1,1
1,0,2,-506,1,0
1,0,0,-100,0,1
1,2,0,-100,1,0
1,1,3,-709,0,1
1,0,0,1523,0,0
1,0,2,-709,0,1
1,1,0,1929,1,0
1,0,0,1117,1,1
1,2,3,103,1,0
1,1,2,508,1,0
1,1,0,-303,1,0
1,0,0,-506,0,1
1,0,2,-709,1,0
1,0,5,-506,1,0
1,2,0,-506,1,0
1,0,3,-506,1,0
1,0,0,-100,1,0
1,0,0,-506,1,1
1,0,0,3350,1,0
1,0,0,-303,1,0
1,2,3,103,1,0
1,1,2,508,1,0
1,2,0,-709,1,0
1,2,2,-709,1,1
1,1,2,-709,1,1
1,0,0,711,1,1
1,0,2,-709,1,1
1,2,2,-100,1,0
1,0,2,-709,1,0
1,0,0,1117,1,1
1,0,2,-303,1,0
1,0,2,-506,1,0
1,2,0,-709,1,1
1,2,2,-709,0,1
1,0,2,-100,1,0
1,0,2,-100,1,0
1,1,2,-506,1,0
1,0,0,-709,0,0
1,2,0,-506,1,0
1,0,0,-506,1,0
1,0,2,-303,1,0
1,0,2,-709,1,0
1,0,2,-100,1,0
1,2,0,-506,1,0
1,0,0,-303,1,1
1,1,2,-709,0,1
1,0,0,-506,1,0
1,1,0,4364,1,0
1,0,5,-709,1,1
1,0,2,103,1,0
1,0,0,-100,1,0
1,0,2,-709,1,0
1,0,2,2335,1,0
1,0,0,-709,1,0
1,1,2,-709,1,1
1,0,2,-709,1,0
1,1,2,103,0,0
1,0,0,-100,1,0
1,0,0,-506,1,0
1,1,3,-709,1,0
1,0,0,-709,0,0
1,0,2,-709,0,1
1,0,2,-506,1,0
1,0,0,-709,0,1
1,0,0,-100,1,1
1,1,2,-506,1,1
1,1,2,-506,0,0
1,2,2,103,1,0
1,0,0,-709,1,0
1,1,2,-709,1,1
1,0,0,-709,0,1
1,0,2,-709,0,1
1,0,2,103,0,1
1,2,0,-709,0,0
1,0,2,306,1,0
1,0,2,-709,1,0
1,1,0,-100,1,0
1,2,0,914,1,0
1,2,2,-506,0,0
1,0,0,103,1,0
1,0,0,1320,1,0
1,0,3,-303,1,0
1,0,0,103,0,0
1,1,0,-303,1,1
1,0,3,-100,1,1
1,0,5,-506,1,0
1,2,2,-303,1,0
1,0,0,-709,1,1
1,2,0,-709,1,1
1,1,0,3755,1,0
1,1,2,-100,0,0
1,1,5,-709,1,0
1,1,2,306,1,0
1,1,3,-506,0,0
1,0,0,1320,1,0
1,0,0,1726,1,1
1,1,0,-506,1,1
1,2,0,-506,1,0
1,2,2,103,1,1
1,0,2,-303,0,0
1,1,3,-100,1,0
1,0,2,-100,1,1
1,2,0,-506,1,0
1,0,3,-709,0,0
1,2,0,-709,1,0
1,1,0,-100,1,1
1,1,0,914,1,0
1,0,0,306,1,0
1,0,2,-506,1,0
1,0,0,-709,0,1
1,0,2,-506,1,0
1,2,3,-506,1,0
1,0,0,914,1,1
1,1,0,306,1,0
1,0,0,-709,0,1
1,2,2,-303,1,0
1,0,2,103,1,0
1,1,0,3553,1,0
1,2,2,103,1,0
1,0,2,-506,1,0
1,2,2,-709,1,1
1,0,0,508,1,1
1,0,0,1117,1,0
1,1,0,2335,1,1
1,1,4,3755,1,0
1,1,5,-709,0,1
1,0,0,711,0,0
1,0,0,-506,1,1
1,1,0,1320,1,0
1,2,0,-303,1,0
1,0,0,306,0,0
1,0,5,-709,1,0
1,1,3,-709,1,0
1,0,2,-303,0,0
1,0,5,-506,0,0
1,0,2,306,1,0
1,0,2,-303,1,1
1,1,0,1320,1,0
1,1,5,914,1,0
1,0,0,103,1,0
1,0,2,-506,1,0
1,1,2,-709,1,0
1,1,2,-506,1,1
1,0,2,-506,0,0
1,0,2,103,1,0
1,0,5,-709,1,0
1,2,0,-100,1,1
1,0,3,-100,1,1
1,2,2,-506,1,1
1,0,0,2944,1,0
1,0,0,-506,1,1
1,0,0,711,0,0
1,0,0,3350,1,0
1,0,0,-506,0,1
1,0,0,2538,1,0
1,0,2,-506,1,1
1,1,2,711,1,0
1,0,0,-506,1,0
1,0,2,-303,1,0
1,1,0,-709,1,0
1,0,0,-303,1,0
1,1,2,-709,0,0
1,1,2,711,1,1
1,2,3,-303,1,0
1,0,0,-709,0,1
1,2,2,-100,1,0
1,0,0,1523,1,0
1,2,3,-303,1,0
1,1,0,4973,1,0
1,0,0,-303,1,0
1,2,0,-709,1,0
1,0,0,306,1,1
1,0,0,-506,1,0
1,0,0,2741,1,0
1,0,2,-709,0,0
1,1,2,-709,1,1
1,2,0,-709,0,0
1,0,0,103,1,0
1,0,0,1726,1,1
1,2,0,-709,1,1
1,2,5,-709,1,1
1,0,3,-709,1,1
1,0,3,-506,1,1
1,1,2,-506,1,1
1,2,2,-709,1,1
1,1,0,-303,0,0
1,2,0,-709,1,0
1,0,0,2132,1,0
1,0,0,-506,1,0
1,0,0,-100,0,0
1,1,2,-506,1,0
1,0,0,2538,1,0
1,0,2,-506,0,1
1,2,0,-709,1,0
1,2,2,-709,1,1
1,2,2,-506,1,1
1,0,0,711,1,1
1,0,0,-709,1,0
1,0,2,-709,1,0
1,2,3,-303,1,0
1,0,0,-506,1,0
1,0,0,3755,1,0
1,0,2,-303,1,0
1,1,3,-709,1,1
1,0,0,711,1,1
1,2,0,-709,1,1
1,0,0,1117,1,0
1,0,3,-709,1,0
1,1,0,914,1,1
1,0,0,-303,1,0
1,0,0,-506,1,0
1,0,0,711,1,0
1,1,2,-303,0,0
1,0,2,-709,0,1
1,0,2,508,1,0
1,0,0,-303,1,0
1,0,2,-506,1,1
1,2,2,-506,0,0
1,0,0,-303,1,1
1,1,0,2741,1,0
1,0,0,508,1,0
1,1,3,-709,1,1
1,0,3,306,1,0
1,2,0,-303,1,0
1,1,0,5176,1,0
1,2,3,-506,1,0
1,0,0,3958,0,1
1,0,3,-709,1,1
1,2,0,-506,1,0
1,0,2,-506,1,0
1,0,0,-100,1,0
1,0,0,-506,1,0
1,2,0,-303,1,0
1,0,2,-100,1,1
1,1,0,306,1,0
1,0,2,-709,1,1
1,1,2,508,0,0
1,1,0,2538,1,0
1,0,3,-506,1,0
1,1,2,-303,1,1
1,0,2,-709,1,1
1,0,3,-506,1,0
1,0,0,-303,0,1
1,2,2,103,0,0
1,0,2,-100,1,0
1,0,0,-100,1,1
1,2,2,-506,1,0
1,2,2,-506,1,0
1,0,0,-709,0,0
1,0,0,1320,1,0
1,0,2,-709,1,1
1,2,0,-709,1,0
1,0,0,1117,1,0
1,1,5,-506,0,0
1,1,5,-100,1,1
1,0,0,306,1,1
1,0,0,-100,1,0
1,2,0,-709,0,0
1,1,0,-709,0,0
1,2,0,-709,0,1
1,1,2,-709,1,0
1,1,0,-303,1,1
1,2,0,-303,1,0
1,0,2,-506,1,0
1,1,2,-709,0,0
1,0,0,-506,1,0
1,2,2,-709,1,1
1,0,2,1320,1,0
1,0,3,1117,0,0
1,0,0,306,0,0
1,2,0,103,1,0
1,0,2,-100,0,0
1,2,2,-709,0,0
1,0,3,914,0,1
1,0,2,-506,1,1
1,1,2,1117,1,0
1,0,0,508,1,0
1,0,0,103,1,0
1,0,2,-303,1,0
1,1,2,2944,1,0
1,2,2,-506,1,0
1,1,2,-709,1,0
1,0,0,-709,1,1
1,0,5,-303,1,0
1,0,0,508,1,0
1,0,2,-506,0,0
1,2,0,-303,0,0
1,2,0,711,0,0
1,0,2,-709,1,1
1,2,2,-506,0,1
1,1,2,-506,1,0
1,0,3,711,1,0
1,2,3,-303,1,0
1,0,2,-709,0,0
1,0,0,1929,1,0
1,0,0,4770,1,1
1,1,2,-303,1,0
1,0,2,-709,1,0
1,2,0,-709,1,1
1,0,0,1117,0,1
1,1,2,-100,1,0
1,0,3,-100,1,0
1,2,2,-506,1,0
1,1,0,-100,1,0
1,0,2,-709,1,1
1,0,0,508,1,0
1,0,0,508,1,1
1,0,0,-709,1,1
1,1,2,-100,1,1
1,0,0,-506,0,1
1,0,2,-100,0,0
1,2,0,-709,1,0
1,2,2,-506,1,0
1,0,0,-709,0,1
1,0,0,-303,1,0
1,2,2,-709,1,0
1,1,0,103,1,0
1,2,2,103,1,1
1,0,0,-303,1,0
1,0,0,-709,1,0
1,2,0,306,1,0
1,2,0,-709,1,1
1,2,0,-709,1,0
1,0,0,-303,1,1
1,0,0,103,1,1
1,0,0,-709,0,1
1,0,0,-303,1,0
1,0,3,-709,1,0
1,0,2,-506,1,1
1,2,0,-506,1,0
1,0,5,-506,1,0
1,0,0,-709,0,0
1,2,0,-709,1,0
1,2,2,711,0,1
1,0,5,508,0,0
1,0,0,508,1,0
1,2,0,-506,0,0
1,0,0,914,1,0
1,0,0,-303,1,0
1,0,2,-709,1,1
1,2,0,914,1,0
1,0,2,-506,1,0
1,1,2,-709,0,1
1,0,2,-709,1,0
1,2,2,-506,1,0
1,2,0,-709,1,1
1,1,0,-709,0,0
1,1,5,-709,1,1
1,0,0,1523,1,0
1,0,0,-709,0,0
1,0,2,-709,1,1
1,2,0,-506,0,1
1,2,0,-303,1,0
1,2,0,-709,1,0
1,2,2,-709,1,0
1,1,3,-303,1,1
1,1,2,-303,1,0
1,0,0,-100,1,1
1,1,0,1726,1,0
1,2,0,-303,1,1
1,2,0,-506,1,0
1,0,0,-506,1,0
1,2,0,-303,1,1
1,2,3,-709,1,1
1,0,0,103,1,0
1,0,0,1523,1,0
1,1,2,2538,1,0
1,2,0,-709,1,0
1,2,0,-506,0,0
1,0,5,-506,1,1
1,0,0,-100,1,0
1,0,0,508,1,0
1,0,0,103,1,1
1,0,2,508,1,0
1,1,2,-709,1,0
1,0,2,-709,1,1
1,0,0,103,1,1
1,2,0,-100,1,0
1,1,2,-709,1,1
1,0,0,-709,1,0
1,0,0,-709,1,0
1,0,0,1320,0,1
1,2,2,508,1,0
1,0,0,1523,1,1
1,2,0,508,1,0
1,0,0,-303,1,1
1,1,2,-709,1,1
1,0,0,711,1,0
1,2,0,-709,0,0
1,1,0,1726,1,0
1,1,0,-303,1,1
1,0,0,-303,1,0
1,1,2,4770,1,1
1,1,2,3553,1,1
1,1,5,-303,1,1
1,0,2,-709,1,0
1,0,2,-506,1,1
1,0,0,103,1,1
1,0,0,-709,1,0
1,1,3,103,0,0
1,0,0,-303,1,0
1,1,5,-709,1,0
1,1,2,-303,1,0
1,2,3,-709,1,0
1,0,0,914,1,0
1,0,0,306,0,0
1,0,0,103,1,0
1,0,0,-303,0,0
1,0,0,-303,1,0
1,1,2,1320,1,0
1,0,0,-303,1,1
1,0,2,508,1,1
1,1,0,3350,1,0
1,1,3,-506,1,1
1,0,0,-100,1,0
1,0,2,-709,1,0
1,1,2,-709,1,0
1,0,3,-709,1,1
1,0,2,-506,1,1
1,1,2,-709,1,0
1,0,0,-303,1,1
1,1,0,-100,0,0
1,2,2,-506,1,0
1,1,0,-709,1,0
1,0,2,-709,0,1
1,1,3,-709,0,0
1,0,0,1320,1,0
1,1,2,-303,1,0
1,1,0,-709,1,1
1,0,2,-506,1,0
1,1,0,-709,0,0
1,1,0,-506,1,1
1,2,0,-303,1,0
1,1,2,1523,1,0
1,1,0,103,1,0
1,1,2,-100,1,0
1,0,0,2335,1,0
1,2,0,914,1,0
1,0,3,-506,1,0
1,0,2,-303,1,0
1,0,3,1929,1,0
1,0,0,-506,1,1
1,0,0,1117,1,1
1,0,0,508,1,0
1,0,0,-506,1,1
1,1,0,1726,1,1
1,0,2,-303,1,0
1,1,0,-709,1,1
1,0,0,-100,1,0
1,2,2,-506,1,0
1,1,0,103,1,1
1,1,2,-709,0,1
1,1,2,3958,0,0
1,0,0,711,1,0
1,2,0,-709,0,0
1,0,3,-506,1,0
1,0,0,914,1,0
1,0,0,1117,1,0
1,0,0,-506,1,1
1,0,0,-506,1,0
1,0,0,306,1,0
1,0,2,1320,0,0
1,1,0,3553,1,0
1,0,0,-303,1,1
1,0,3,508,1,0
1,0,0,-709,0,1
1,0,3,914,1,1
1,0,0,306,1,0
1,2,2,-303,1,1
1,0,2,103,1,1
1,1,0,711,1,0
1,2,0,-303,1,0
1,0,0,1523,1,0
1,2,0,-506,1,0
1,0,3,-709,1,0
1,2,2,103,1,1
1,0,0,-506,1,1
1,0,2,-506,1,1
1,0,0,-709,1,1
1,1,2,-709,0,1
1,0,0,-506,1,1
1,0,0,103,0,0
1,0,0,103,1,0
1,0,2,-709,1,0
1,0,2,1523,1,1
1,1,0,-709,1,1
1,0,0,2132,1,0
1,0,0,306,1,0
1,2,0,2335,1,0
1,1,0,-506,1,0
1,1,2,-709,1,1
1,0,0,2335,0,0
1,0,3,-506,1,0
1,1,3,-709,1,0
1,0,2,-709,1,0
1,2,2,-709,1,0
1,0,0,1320,1,0
1,1,3,-303,1,0
1,0,2,-303,1,0
1,0,2,-709,1,0
1,2,0,-506,1,0
1,0,0,-709,1,0
1,1,0,103,1,0
1,2,0,-709,0,1
1,0,0,-709,0,1
1,2,0,-303,0,0
1,2,2,-506,1,0
1,1,0,1726,1,1
1,0,0,-303,0,0
1,1,2,306,1,0
1,0,0,1929,1,0
1,1,2,-709,0,0
1,2,0,-709,1,1
1,2,0,-709,1,0
1,0,0,306,1,1
1,0,2,-506,0,1
1,0,0,-303,0,0
1,2,0,-506,1,0
1,2,0,-100,1,0
1,2,0,-709,1,0
1,0,2,914,1,0
1,2,0,-709,0,1
1,0,0,-506,0,0
1,2,0,-303,1,0
1,2,2,-709,1,1
1,0,2,-709,0,0
1,2,0,-709,1,1
1,0,0,306,1,1
1,2,2,-709,1,1
1,2,0,-709,1,0
1,0,2,-506,1,0
1,0,0,1117,1,0
1,2,0,-709,1,0
1,1,0,103,1,1
1,2,0,-303,0,0
1,1,0,2335,1,0
1,0,0,914,1,0
1,2,5,-709,1,0
1,2,0,-709,0,0
1,2,0,-100,1,0
1,0,2,-709,1,0
1,2,2,-709,1,0
1,0,0,508,1,1
1,2,0,-709,1,0
1,1,0,103,0,0
1,1,0,-100,1,1
1,1,2,-709,1,0
1,0,2,306,0,0
1,0,0,711,0,0
1,1,0,-709,0,0
1,0,0,1117,1,1
1,1,0,711,1,1
1,1,0,3755,1,1
1,1,0,-303,0,1
1,0,0,508,1,0
1,1,2,-709,0,0
1,0,2,-709,1,1
1,2,0,-709,1,1
1,2,2,-709,1,0
1,1,2,-709,1,0
1,0,2,914,1,0
1,0,5,-709,0,0
1,0,2,306,1,0
1,0,0,-506,0,0
1,1,0,-506,1,0
1,0,5,306,1,1
1,1,0,1929,1,1
1,0,0,508,0,0
1,0,0,-709,1,0
1,0,2,-303,0,0
1,1,0,-709,1,1
1,0,2,-506,1,1
1,1,0,306,1,0
1,2,2,-709,1,0
1,0,2,-709,0,0
1,0,3,-506,0,1
1,0,2,103,1,0
1,2,0,-303,1,0
1,0,0,508,1,1
1,0,3,-506,1,0
1,0,3,-303,0,0
1,2,0,711,1,1
1,0,2,-709,1,1
1,0,2,-100,0,0
1,1,2,-709,1,0
1,0,0,-506,0,0
1,0,0,306,1,0
1,1,0,306,1,0
1,2,2,-709,1,1
1,0,0,-303,1,0
1,2,5,-709,0,0
1,0,0,-100,1,0
1,0,2,914,1,1
1,0,0,-506,0,0
1,0,0,711,0,0
1,0,0,-709,1,0
1,0,0,-303,1,1
1,1,3,-709,1,1
1,2,0,-303,1,0
1,0,5,-303,0,1
1,0,0,711,1,0
1,1,2,2944,1,1
1,1,3,306,1,0
1,2,2,-709,0,1
1,1,2,306,1,1
1,0,0,306,1,0
1,1,0,-506,0,0
1,2,0,-506,1,0
1,0,2,-303,1,1
1,0,2,-709,1,1
1,0,3,508,1,1
1,0,0,-303,1,0
1,0,0,-709,1,0
1,0,3,-506,1,1
1,0,0,-506,0,0
1,0,0,508,1,0
1,0,0,-303,1,0
1,0,0,1929,1,1
1,0,3,-709,0,1
1,0,0,1523,1,1
1,0,0,-100,1,1
1,1,3,-506,0,0
1,0,0,1320,0,0
1,2,0,-709,1,0
1,1,2,-709,1,0
1,0,2,-709,0,0
1,2,0,103,1,1
1,0,0,306,1,0
1,1,2,-506,0,0
1,2,0,-303,1,0
1,1,2,-506,1,1
1,0,2,-709,1,1
1,0,0,508,1,0
1,0,0,914,1,1
1,0,2,-709,1,0
1,0,0,1726,1,0
1,1,2,-709,1,0
1,1,0,-303,1,1
1,0,2,-506,0,1
1,0,0,-709,1,0
1,0,0,-506,1,1
1,0,0,-506,1,1
1,0,0,-709,1,1
1,0,2,-100,1,1
1,0,0,914,1,0
1,2,0,-506,1,1
1,2,0,306,1,0
1,0,5,-709,1,1
1,0,2,103,1,0
1,1,0,4364,0,0
1,0,5,-303,1,0
1,0,3,-709,1,0
1,0,0,-506,0,1
1,0,3,-303,1,1
1,0,0,1117,1,0
1,0,0,-709,1,1
1,2,0,-709,0,1
1,2,0,103,1,0
1,0,0,-709,0,1
1,0,0,1117,1,0
1,2,0,-709,1,1
1,2,2,-709,0,0
1,2,0,-506,1,0
1,0,0,-709,1,1
1,0,0,-709,1,0
1,0,5,-709,1,0
1,0,0,1117,1,0
1,1,2,-100,1,0
1,0,0,-303,1,0
1,1,2,-709,1,1
1,0,0,-303,1,1
1,2,0,-506,1,0
1,0,0,-100,1,0
1,2,0,-506,1,0
1,2,2,-709,1,0
1,0,0,-709,1,0
1,0,0,1320,1,0
1,0,2,-100,1,1
1,0,3,-709,0,1
1,1,5,306,1,1
1,0,0,711,1,0
1,0,2,-709,1,0
1,2,0,-709,1,1
1,0,5,-506,1,0
1,0,0,1523,1,0
1,0,2,103,1,0
1,0,5,-709,0,0
1,1,2,-100,1,0
1,1,2,-709,1,1
1,1,2,1523,1,0
1,0,0,-303,1,0
1,0,5,-709,1,1
1,0,0,103,0,0
1,0,2,-709,1,0
1,0,3,-709,0,1
1,0,3,-303,1,1
1,2,0,-709,1,1
1,0,0,-303,1,0
1,0,0,-709,1,1
1,0,0,-303,1,0
1,0,0,2132,1,0
1,0,0,-506,0,1
1,0,0,-303,1,0
1,1,2,-709,0,1
1,0,0,508,1,0
1,0,5,-100,1,1
1,0,2,-709,1,0
1,0,0,306,1,0
1,2,0,-709,1,0
1,2,2,-506,1,0
1,1,0,-506,1,0
1,0,0,-506,1,0
1,0,0,-100,1,1
1,0,0,-506,1,1
1,1,2,-709,1,1
1,2,0,-506,1,0
1,1,0,2132,1,1
1,2,3,-709,1,0
1,2,0,-709,1,0
1,1,2,-303,1,0
1,0,0,508,1,0
1,1,0,711,1,0
1,0,0,-100,0,1
1,0,0,103,1,0
1,0,2,711,0,0
1,0,0,-709,1,0
1,1,5,-709,1,1
1,1,0,-709,1,1
1,0,0,-100,1,0
1,0,3,914,1,1
1,2,0,-506,0,1
1,0,0,1929,1,0
1,2,2,-709,1,1
1,1,5,-709,1,1
1,1,2,-709,1,1
1,0,3,-709,1,1
1,0,5,-506,1,0
1,2,0,-709,1,0
1,1,5,-506,0,0
1,0,0,-100,1,1
1,0,3,-709,1,1
1,0,2,-709,0,0
1,2,0,-506,1,1
1,0,5,-709,0,0
1,0,0,-709,1,0
1,1,0,103,1,0
1,0,0,1117,1,1
1,2,0,-506,1,1
1,0,0,-506,1,0
1,0,0,-709,0,1
1,2,0,-709,0,1
1,0,5,306,1,0
1,0,3,-100,1,0
1,0,2,-506,1,0
1,0,0,-303,1,1
1,0,2,-709,1,0
1,0,2,-506,0,0
1,2,0,-100,1,0
1,2,5,-506,1,0
1,0,0,103,1,0
1,0,3,-506,1,0
1,0,2,-709,0,0
1,1,3,-100,1,0
1,0,2,-709,1,1
1,2,0,-709,1,1
1,1,2,-709,0,1
1,0,2,-709,1,0
1,2,2,-709,1,1
1,0,0,711,1,1
1,0,5,-709,0,1
1,2,0,-506,0,0
1,0,0,1320,1,0
1,2,2,-506,1,1
1,0,0,-100,0,0
1,0,0,-100,1,1
1,0,2,711,1,1
1,0,2,-100,1,0
1,0,0,2741,0,0
1,0,0,-709,1,1
1,0,2,-506,1,0
1,2,2,-100,1,1
1,1,2,-709,0,1
1,1,2,-303,1,1
1,0,2,306,0,0
1,0,3,-709,1,1
1,0,0,-303,1,0
1,1,0,7002,1,0
1,0,3,-709,1,1
1,1,2,2335,0,0
1,1,2,-709,1,0
1,1,0,-506,1,1
1,0,0,-506,1,0
1,2,0,-506,1,1
1,1,2,-709,1,0
